code,Country,value, Female, Male
STP,Sao Tome and Principe,12.3,18.2,6.2
SUR,Suriname,26.1,32.9,19.4
SVK,Slovakia,25.7,26.7,24.6
SVN,Slovenia,25.1,25.5,24.6
SWE,Sweden,20.5,18.6,22.5
SWZ,Swaziland,17.7,27.8,7.5
SYC,Seychelles,26.3,35.9,17.1
SYR,Syrian Arab Republic,23.5,29.9,17.4
TCD,Chad,8.1,12.3,4.0
TGO,Togo,7.5,11.9,3.0
THA,Thailand,8.5,11.1,5.7
TJK,Tajikistan,13.6,17.3,9.9
TKM,Turkmenistan,20.1,23.1,17.1
TLS,Timor-Leste,2.2,3.2,1.2
TON,Tonga,43.3,50.1,36.4
TTO,Trinidad and Tobago,31.1,38.0,24.1
TUN,Tunisia,27.1,33.8,20.3
TUR,Turkey,29.5,35.8,22.9
TUV,Tuvalu,40.3,46.4,34.5
UGA,Uganda,4.9,8.3,1.6
UKR,Ukraine,20.1,22.6,17.1
URY,Uruguay,26.7,30.6,22.5
USA,United States of America,33.7,34.7,32.6
UZB,Uzbekistan,15.5,18.9,12.1
VCT,Saint Vincent and the Grenadines,24.3,30.9,17.9
VUT,Vanuatu,35.4,41.5,29.4
WSM,Samoa,43.4,51.3,36.0
YEM,Yemen,17.2,23.4,11.1
ZAF,South Africa,26.8,37.3,15.7
ZMB,Zambia,8.9,14.3,3.4
ZWE,Zimbabwe,10.5,18.5,2.4
